Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771816186327,7340.920867919922,28000,1,0.9812500000000001,8765.623458862305,28000,1,0.9812500000000001,6913.521697998047,28000,1,0.9812500000000001,8675.957534790039,28000,1,0.9812500000000001,4566.054916381836,4800,2,0.9812500000000001,4552.808166503906,4800,2,0.9812500000000001,4568.379165649414,4800,2,0.9812500000000001,4561.829010009766,4800,2,0.9812500000000001,4606.106582641602,4800,2,0.9812500000000001,4723.294143676758,4800,2,0.9812500000000001,190392.98649597168,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,3.125,6.060606002807617,3.0303030014038086,8.823529243469238,3.0303030014038086,9.375,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,8.823529243469238,3.0303030014038086,3.0303030014038086,2.941176414489746,0,2.941176414489746,3.125,28659011584,8589930496,2896474112,0
500,1771816186327,7340.920944213867,28000,1,0.9812500000000001,8765.624053955078,28000,1,0.9812500000000001,6913.521713256836,28000,1,0.9812500000000001,8675.958068847656,28000,1,0.9812500000000001,4566.054916381836,4800,2,0.9812500000000001,4552.808166503906,4800,2,0.9812500000000001,4568.379165649414,4800,2,0.9812500000000001,4561.82942199707,4800,2,0.9812500000000001,4606.106582641602,4800,2,0.9812500000000001,4723.294174194336,4800,2,0.9812500000000001,190392.9913635254,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,3.125,6.060606002807617,3.0303030014038086,8.823529243469238,3.0303030014038086,9.375,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,8.823529243469238,3.0303030014038086,3.0303030014038086,2.941176414489746,0,2.941176414489746,3.125,28659011584,8589930496,2896474112,0
499,1771816186828,7340.937942504883,28000,1,0.9812500000000001,8765.68132019043,28000,1,0.9812500000000001,6913.539016723633,28000,1,0.9812500000000001,8676.013626098633,28000,1,0.9812500000000001,4566.070297241211,4800,2,0.9812500000000001,4552.81591796875,4800,2,0.9812500000000001,4568.380065917969,4800,2,0.9812500000000001,4561.8367919921875,4800,2,0.9812500000000001,4606.123779296875,4800,2,0.9812500000000001,4723.308166503906,4800,2,0.9812500000000001,190395.27059936523,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,5.769230842590332,5.882352828979492,0,2,0,5.882352828979492,2.040816307067871,4,0,0,3.9215688705444336,0,2,2,4,0,2,3.9215688705444336,2.040816307067871,0,28659011584,8589930496,2897297408,0
499,1771816187328,7341.155609130859,28000,1,0.9812500000000001,8765.92643737793,28000,1,0.9812500000000001,6913.712051391602,28000,1,0.9812500000000001,8676.36361694336,28000,1,0.9812500000000001,4566.163101196289,4800,2,0.9812500000000001,4552.90202331543,4800,2,0.9875,4568.466171264648,4800,2,0.9875,4561.92887878418,4800,2,0.9875,4606.235580444336,4800,2,0.9875,4723.38948059082,4800,2,0.9875,190399.02922058105,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,34,32.65306091308594,26,34.693878173828125,30.000001907348633,36.73469543457031,30.000001907348633,28,30.000001907348633,26,36,28,26,50,16,18,20,24.489795684814453,16.32653045654297,16.32653045654297,28659011584,8589930496,2909065216,0
499,1771816187828,7341.625564575195,28000,1,0.9812500000000001,8766.369323730469,28000,1,0.9812500000000001,6914.169357299805,28000,1,0.9875,8676.82406616211,28000,1,0.9875,4566.382308959961,6800,2,0.9875,4553.157791137695,6800,2,0.9875,4568.69091796875,6800,2,0.9875,4562.172653198242,6800,2,0.9875,4606.477645874023,6800,2,0.9875,4723.63818359375,6800,2,0.9875,190404.68283081055,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,51.020408630371094,48,65.30612182617188,58,62,64.70588684082031,52,60.78431701660156,31.37255096435547,60.000003814697266,62.74510192871094,64,60.000003814697266,58.82353210449219,34.693878173828125,48,58.82353210449219,48,40,42,28659011584,8589930496,2924851200,0
499,1771816188328,7342.221343994141,28000,1,0.90625,8766.900787353516,28000,1,0.90625,6914.749801635742,28000,1,0.90625,8677.429321289063,28000,1,0.90625,4566.769958496094,28000,1,0.90625,4553.537139892578,28000,1,0.90625,4569.088394165039,28000,1,0.90625,4562.564300537109,28000,1,0.90625,4606.901901245117,28000,1,0.90625,4724.022994995117,28000,1,0.90625,190411.83074951172,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,60.000003814697266,61.224491119384766,68.62745666503906,56,67.34693908691406,65.30612182617188,62.74510192871094,66,65.30612182617188,66,69.38775634765625,56,61.224491119384766,67.34693908691406,40.81632614135742,42,44.89795684814453,43.75,55.1020393371582,48.979591369628906,28659011584,8589930496,2937323520,0
499,1771816188828,7342.739761352539,28000,1,0.90625,8767.401489257813,28000,1,0.90625,6915.286285400391,28000,1,0.90625,8677.991104125977,28000,1,0.90625,4567.101181030273,28000,1,0.90625,4553.892074584961,28000,1,0.90625,4569.436294555664,28000,1,0.90625,4562.915435791016,28000,1,0.90625,4607.289306640625,28000,1,0.90625,4724.386291503906,28000,1,0.90625,190418.50939941406,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,52,48,61.224491119384766,58.82353210449219,62.74510192871094,66.66667175292969,42.85714340209961,63.26530456542969,52.94117736816406,58,64,64,62,60.000003814697266,44,34.693878173828125,46,36,48.979591369628906,33.333335876464844,28659011584,8589930496,3007995904,0
499,1771816189328,7342.867034912109,28000,1,0.90625,8767.583923339844,28000,1,0.90625,6915.398590087891,28000,1,0.90625,8678.155670166016,28000,1,0.90625,4567.172149658203,28000,1,0.90625,4553.951065063477,28000,1,0.90625,4569.507553100586,28000,1,0.90625,4562.998779296875,28000,1,0.90625,4607.390914916992,28000,1,0.90625,4724.495040893555,28000,1,0.90625,190421.76538085938,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,12.244897842407227,16.32653045654297,16,20,16,20,12,12,14.285715103149414,14,13.72549057006836,12.5,9.803921699523926,17.647058486938477,8,4.081632614135742,5.882352828979492,12,8.333333969116211,10.204081535339355,28659011584,8589930496,3027783680,0
500,1771816189828,7343.063980102539,28000,1,0.9125,8767.807022094727,28000,1,0.9125,6915.593521118164,28000,1,0.9125,8678.412139892578,28000,1,0.9125,4567.312118530273,28000,1,0.9125,4554.089202880859,28000,1,0.9125,4569.666595458984,28000,1,0.9125,4563.137283325195,28000,1,0.9125,4607.543426513672,28000,1,0.9125,4724.660430908203,28000,1,0.9125,190425.6799468994,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,23.52941131591797,28,24.489795684814453,16,29.411766052246094,24,28,27.45098114013672,24.489795684814453,24,22.448978424072266,28,16.32653045654297,34,12.244897842407227,14,26,18,24,22.448978424072266,28659011584,8589930496,3042496512,0
500,1771816190329,7343.177169799805,28000,1,0.9812500000000001,8767.947052001953,28000,1,0.9812500000000001,6915.712539672852,28000,1,0.9812500000000001,8678.530303955078,28000,1,0.9812500000000001,4567.397521972656,6600,2,0.9812500000000001,4554.170562744141,6600,2,0.9812500000000001,4569.753280639648,6600,2,0.9812500000000001,4563.217834472656,6600,2,0.9812500000000001,4607.614532470703,6600,2,0.9812500000000001,4724.753845214844,6600,2,0.9812500000000001,190428.41609191895,1986,1989,1988,1990,1986,1986,1399,1400,1400,1399,1399,1400,1988,1990,1397,1396,1395,1400,1399,1397,6.25,14,17.307693481445313,14.285715103149414,16,12,14,14,15.686275482177734,10.204081535339355,12.244897842407227,14.285715103149414,13.72549057006836,14.285715103149414,10,8,10,10.204081535339355,9.803921699523926,14,28659011584,8589930496,3040985088,0
