Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771876641818,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,16.129032135009766,13.333333969116211,13.333333969116211,10,6.896551609039307,13.333333969116211,16.666667938232422,13.333333969116211,10.344827651977539,10.344827651977539,10.344827651977539,12.90322494506836,23596.159606933594,249086.5379638672,74535.2593383789,5921.742980957031,16525500416,4294963200,11606609920,3679911936
499,1771876641819,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,16.129032135009766,13.333333969116211,13.333333969116211,10,6.896551609039307,13.333333969116211,16.666667938232422,13.333333969116211,10.344827651977539,10.344827651977539,10.344827651977539,12.90322494506836,23596.160522460938,249086.5379638672,74535.2621459961,5921.742980957031,16525500416,4294963200,11606609920,3679911936
499,1771876642318,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,18.367347717285156,12,18.367347717285156,8,11.320755004882813,24,8,14.285715103149414,14,12,20,9.803921699523926,23596.497131347656,249094.5867919922,74540.81237792969,5921.7633056640625,16525500416,4294963200,11629977600,3679911936
500,1771876642819,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,51.92307662963867,63.4615364074707,53.84615707397461,54.000003814697266,44.89795684814453,50,46.938777923583984,59.18367385864258,49.01960754394531,44,52,58,23596.910583496094,249124.34704589844,74568.01739501953,5921.821838378906,16525500416,4294963200,11636207616,3679911936
499,1771876643319,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,67.34693908691406,66,74,66.66667175292969,69.38775634765625,66,74.50980377197266,66,65.30612182617188,68,62.74510192871094,68,23597.39971923828,249156.53356933594,74597.50256347656,5921.985412597656,16525500416,4294963200,11642908672,3679911936
500,1771876643819,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,73.46939086914063,73.46939086914063,77.55101776123047,71.42857360839844,72,76,74.50980377197266,72,68,72,69.38775634765625,70,23597.889038085938,249190.0029296875,74628.28973388672,5922.122375488281,16525500416,4294963200,11658551296,3679911936
499,1771876644319,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,78.4313735961914,78,79.59183502197266,80,81.63265228271484,78.84615325927734,86.2745132446289,76.47058868408203,78.4313735961914,80.39215850830078,74,79.59183502197266,23598.437133789063,249223.1421508789,74658.72436523438,5922.235046386719,16525500416,4294963200,11693146112,3679911936
495,1771876644823,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,74,64.70588684082031,76,74,76,74.50980377197266,74,73.46939086914063,69.38775634765625,72.91667175292969,73.46939086914063,72.54901885986328,23598.929809570313,249254.4246826172,74687.26007080078,5922.415466308594,16525500416,4294963200,11694166016,3679911936
499,1771876645319,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,68,65.30612182617188,65.30612182617188,66.66667175292969,64.70588684082031,65.30612182617188,63.26530456542969,70,62,64.70588684082031,67.34693908691406,63.26530456542969,23599.358520507813,249282.947265625,74713.1928100586,5922.510681152344,16525500416,4294963200,11694104576,3679911936
499,1771876645820,4226,4299,4298,4270,4200,4282,4262,4202,4299,4299,4200,4227,14,8.163265228271484,11.764705657958984,18.367347717285156,10.204081535339355,13.72549057006836,16.32653045654297,11.764705657958984,12.5,14.285715103149414,17.647058486938477,16.32653045654297,23599.657775878906,249288.4994506836,74716.22430419922,5922.528137207031,16525500416,4294963200,11694092288,3679911936
