Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771799670589,4161.131546020508,28000,1,0.9812500000000001,5275.28092956543,28000,1,0.9812500000000001,3816.075408935547,28000,1,0.9812500000000001,5183.635711669922,28000,1,0.9812500000000001,2496.6183013916016,4800,2,0.9812500000000001,2478.346969604492,4800,2,0.9812500000000001,2482.421157836914,4800,2,0.9812500000000001,2476.029098510742,4800,2,0.9812500000000001,2500.3206481933594,4800,2,0.9812500000000001,2584.7217559814453,4800,2,0.9812500000000001,114589.31973266602,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,2.777777910232544,2.857142925262451,2.702702760696411,2.702702760696411,2.702702760696411,8.108107566833496,2.702702760696411,5.405405521392822,2.777777910232544,2.777777910232544,2.777777910232544,2.702702760696411,0,2.857142925262451,2.702702760696411,2.702702760696411,2.702702760696411,0,2.702702760696411,2.777777910232544,28659011584,8589930496,3176222720,0
499,1771799670589,4161.131561279297,28000,1,0.9812500000000001,5275.28092956543,28000,1,0.9812500000000001,3816.075408935547,28000,1,0.9812500000000001,5183.636383056641,28000,1,0.9812500000000001,2496.6183166503906,4800,2,0.9812500000000001,2478.346969604492,4800,2,0.9812500000000001,2482.4215393066406,4800,2,0.9812500000000001,2476.029098510742,4800,2,0.9812500000000001,2500.3206481933594,4800,2,0.9812500000000001,2584.7217712402344,4800,2,0.9812500000000001,114589.32308959961,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,2.777777910232544,2.857142925262451,2.702702760696411,2.702702760696411,2.702702760696411,8.108107566833496,2.702702760696411,5.405405521392822,2.777777910232544,2.777777910232544,2.777777910232544,2.702702760696411,0,2.857142925262451,2.702702760696411,2.702702760696411,2.702702760696411,0,2.702702760696411,2.777777910232544,28659011584,8589930496,3176222720,0
499,1771799671089,4161.230850219727,28000,1,0.9812500000000001,5275.550476074219,28000,1,0.9812500000000001,3816.1867065429688,28000,1,0.9812500000000001,5183.801528930664,28000,1,0.9812500000000001,2496.6543884277344,4800,2,0.9812500000000001,2478.387191772461,4800,2,0.9812500000000001,2482.46142578125,4800,2,0.9812500000000001,2476.055938720703,4800,2,0.9812500000000001,2500.3538665771484,4800,2,0.9812500000000001,2584.7576446533203,4800,2,0.9812500000000001,114592.33860778809,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,16.32653045654297,9.803921699523926,6,58,18,16,10.204081535339355,5.882352828979492,3.9215688705444336,5.882352828979492,9.615385055541992,8.163265228271484,11.538461685180664,22,2,8.163265228271484,11.764705657958984,4,0,4,28659011584,8589930496,3219763200,0
499,1771799671589,4161.60009765625,28000,1,0.7375,5275.956161499023,28000,1,0.7375,3816.5161895751953,28000,1,0.7375,5184.256454467773,28000,1,0.7375,2496.83349609375,4800,2,0.53125,2478.559844970703,4800,2,0.53125,2482.646987915039,4800,2,0.53125,2476.2373962402344,4800,2,0.53125,2500.5342407226563,4800,2,0.53125,2584.9400177001953,4800,2,0.53125,114597.47631835938,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,46,53.061222076416016,47.05882263183594,43.13725662231445,49.01960754394531,46,45.09803771972656,40.81632614135742,48.979591369628906,48.979591369628906,42.85714340209961,50.98039627075195,43.75,67.34693908691406,36,41.17647171020508,30.612245559692383,30.000001907348633,44,34,28659011584,8589930496,3245518848,0
499,1771799672089,4162.003067016602,28000,1,0.91875,5276.393447875977,28000,1,0.91875,3816.897506713867,28000,1,0.91875,5184.697937011719,28000,1,0.91875,2497.034927368164,28000,1,0.91875,2478.7670288085938,28000,1,0.91875,2482.8799896240234,28000,1,0.91875,2476.449447631836,28000,1,0.91875,2500.7565307617188,28000,1,0.91875,2585.1626586914063,28000,1,0.91875,114603.03059387207,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,54.000003814697266,57.69230651855469,53.061222076416016,53.061222076416016,42.85714340209961,57.142860412597656,40,44.89795684814453,64,51.020408630371094,60.000003814697266,58,60.000003814697266,60.000003814697266,40.81632614135742,40.81632614135742,39.2156867980957,44,38.46154022216797,34,28659011584,8589930496,3260755968,0
499,1771799672589,4162.576354980469,28000,1,0.91875,5276.974639892578,28000,1,0.91875,3817.4800872802734,28000,1,0.91875,5185.269134521484,28000,1,0.91875,2497.44775390625,28000,1,0.91875,2479.212173461914,28000,1,0.91875,2483.329864501953,28000,1,0.91875,2476.8993225097656,28000,1,0.91875,2501.192642211914,28000,1,0.91875,2585.6045532226563,28000,1,0.91875,114610.93919372559,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,46,48.979591369628906,70,72,62,64.70588684082031,72,59.18367385864258,64.70588684082031,62.74510192871094,66,70,58,46,29.411766052246094,60.000003814697266,59.18367385864258,63.26530456542969,44.89795684814453,52,28659011584,8589930496,3287662592,0
499,1771799673089,4163.164276123047,28000,1,0.91875,5277.570724487305,28000,1,0.91875,3818.0843353271484,28000,1,0.91875,5185.8797607421875,28000,1,0.91875,2497.8927612304688,28000,1,0.91875,2479.6409301757813,28000,1,0.91875,2483.721405029297,28000,1,0.91875,2477.3739166259766,28000,1,0.91875,2501.6223754882813,28000,1,0.91875,2586.044876098633,28000,1,0.91875,114618.81796264648,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,50,55.1020393371582,68,68,62.74510192871094,69.38775634765625,58.82353210449219,52.94117736816406,60.78431701660156,72,66,70,68.62745666503906,55.1020393371582,62,60.000003814697266,34,68.62745666503906,50,44.89795684814453,28659011584,8589930496,3380178944,0
500,1771799673590,4163.805191040039,28000,1,0.5375000000000001,5278.233734130859,28000,1,0.5375000000000001,3818.7340393066406,28000,1,0.5375000000000001,5186.525909423828,28000,1,0.5375000000000001,2498.342239379883,28000,1,0.5375000000000001,2480.097702026367,28000,1,0.5375000000000001,2484.1763763427734,28000,1,0.5375000000000001,2477.856002807617,28000,1,0.5375000000000001,2502.142578125,28000,1,0.5375000000000001,2586.5573120117188,28000,1,0.5375000000000001,114627.29040527344,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,46,69.38775634765625,70.5882339477539,58.82353210449219,60.41666793823242,60.78431701660156,56.25,67.34693908691406,54.16666793823242,70.5882339477539,70,72,62,60.000003814697266,46,39.2156867980957,48,52,66,60.000003814697266,28659011584,8589930496,3390918656,0
499,1771799674090,4164.540618896484,28000,1,0.54375,5278.999526977539,28000,1,0.54375,3819.480010986328,28000,1,0.54375,5187.284042358398,28000,1,0.54375,2498.8724822998047,28000,1,0.54375,2480.6575469970703,28000,1,0.54375,2484.7067260742188,28000,1,0.54375,2478.3927307128906,28000,1,0.5375000000000001,2502.7020721435547,28000,1,0.5375000000000001,2587.1156463623047,28000,1,0.5375000000000001,114636.86373901367,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,54.000003814697266,64,70,66.66667175292969,70.5882339477539,70,60.78431701660156,62.74510192871094,48.979591369628906,64.58332824707031,71.42857360839844,64,63.26530456542969,67.34693908691406,48.979591369628906,59.18367385864258,60.000003814697266,44.89795684814453,56,55.1020393371582,28659011584,8589930496,3369463808,0
499,1771799674590,4165.175094604492,28000,1,0.59375,5279.6512451171875,28000,1,0.59375,3820.1114959716797,28000,1,0.91875,5187.946441650391,28000,1,0.91875,2499.3429260253906,28000,1,0.91875,2481.136489868164,28000,1,0.91875,2485.1375885009766,28000,1,0.91875,2478.8484802246094,28000,1,0.91875,2503.1354370117188,28000,1,0.91875,2587.5748443603516,28000,1,0.91875,114645.27027893066,1988,1988,623,1983,623,1987,1400,1400,1405,1399,1399,1406,623,623,1399,1397,1400,1400,1400,1400,56.86274719238281,57.142860412597656,66.66667175292969,72.54901885986328,58,67.34693908691406,70.5882339477539,62,66.66667175292969,50,68,62,72,66.66667175292969,52.94117736816406,60.000003814697266,38,64,36,48,28659011584,8589930496,3360567296,0
