Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771900442447,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,78.57142639160156,82.14286041259766,82.14286041259766,80,81.48148345947266,82.14286041259766,78.57142639160156,82.14286041259766,89.28571319580078,83.87096405029297,79.31034851074219,74.0740737915039,37992.13220214844,46907.12237548828,43468.77069091797,7037.5513916015625,16525500416,4294963200,12607508480,3988963328
522,1771900442447,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,78.57142639160156,82.14286041259766,82.14286041259766,80,81.48148345947266,82.14286041259766,78.57142639160156,82.14286041259766,89.28571319580078,83.87096405029297,79.31034851074219,74.0740737915039,37992.13220214844,46907.12237548828,43468.77374267578,7037.5513916015625,16525500416,4294963200,12607508480,3988963328
499,1771900442970,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,86.79244995117188,92.45282745361328,88.46153259277344,88.46153259277344,90.38461303710938,90.5660400390625,88.46153259277344,88.67924499511719,92.1568603515625,90.19607543945313,96.15384674072266,84.9056625366211,37992.672302246094,46920.22912597656,43479.145568847656,7037.631164550781,16525500416,4294963200,12666830848,3988963328
499,1771900443470,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,87.7551040649414,90,83.67346954345703,84.61538696289063,86.2745132446289,98.03921508789063,82.69230651855469,86,86.2745132446289,86,90,86,37993.198486328125,46932.43029785156,43488.60266113281,7037.755859375,16525500416,4294963200,12662976512,3988963328
498,1771900443971,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,90.38461303710938,89.79591369628906,92,92,87.5,89.36170196533203,89.79591369628906,91.83673095703125,89.79591369628906,89.79591369628906,86,89.79591369628906,37993.79846191406,46944.77313232422,43498.228271484375,7037.877014160156,16525500416,4294963200,12769705984,3988955136
497,1771900444472,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,83.67346954345703,80.39215850830078,86,82,96.07843017578125,80,80,76.47058868408203,75.51020050048828,78.4313735961914,90,80.76922607421875,37994.22888183594,46956.94543457031,43507.796813964844,7037.9522705078125,16525500416,4294963200,12805115904,3988951040
499,1771900444970,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,88,86,85.71428680419922,82,86,86,84.31372833251953,83.67346954345703,84.31372833251953,83.67346954345703,92,83.33332824707031,37994.67626953125,46969.03497314453,43517.18865966797,7038.140930175781,16525500416,4294963200,12819103744,3988951040
499,1771900445470,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,84,87.7551040649414,70.5882339477539,86,84,84,85.71428680419922,84.31372833251953,83.67346954345703,78.4313735961914,71.42857360839844,78,37995.06414794922,46981.387634277344,43526.834716796875,7038.295104980469,16525500416,4294963200,12787679232,3988951040
499,1771900445970,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,86.2745132446289,85.41667175292969,84,73.46939086914063,87.7551040649414,86,66,85.41667175292969,84,83.67346954345703,84,84,37995.45935058594,46993.61846923828,43536.468017578125,7038.3914794921875,16525500416,4294963200,12759703552,3988951040
500,1771900446471,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,84,86.53846740722656,73.46939086914063,81.63265228271484,84.61538696289063,83.67346954345703,84,82.69230651855469,86,82,82,80.39215850830078,37995.860412597656,47005.89245605469,43546.16571044922,7038.482421875,16525500416,4294963200,12767596544,3988930560
496,1771900446975,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,85.71428680419922,88,90.19607543945313,88.23529815673828,86,80.76922607421875,88.23529815673828,87.7551040649414,86.2745132446289,82.35294342041016,86.2745132446289,89.79591369628906,37996.258239746094,47018.40954589844,43556.09118652344,7038.544006347656,16525500416,4294963200,12758474752,3988930560
500,1771900447472,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,81.63265228271484,81.25,83.67346954345703,75.51020050048828,83.67346954345703,79.59183502197266,82,72,79.59183502197266,78,82,78,37996.63977050781,47030.238830566406,43565.31982421875,7038.594787597656,16525500416,4294963200,12761337856,3988930560
500,1771900447972,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,13.72549057006836,7.843137741088867,6,16,6.122448921203613,10,2,6,6,6.122448921203613,2,4,37996.93035888672,47033.385498046875,43565.987365722656,7038.594787597656,16525500416,4294963200,12759539712,3988930560
499,1771900448472,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,79.59183502197266,82,82,77.55101776123047,86,81.25,81.63265228271484,80,84,86.2745132446289,77.55101776123047,82,37997.382751464844,47055.52392578125,43585.50714111328,7038.68798828125,16525500416,4294963200,12744728576,3988930560
499,1771900448972,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,88,88,84,86,84,88.23529815673828,90,88,90.19607543945313,81.63265228271484,87.7551040649414,84,37997.800048828125,47068.20672607422,43595.63446044922,7038.739013671875,16525500416,4294963200,12716576768,3988930560
499,1771900449473,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,82.35294342041016,85.71428680419922,84,82,88,80.39215850830078,84.31372833251953,86,86,87.7551040649414,86.53846740722656,85.71428680419922,37998.18914794922,47080.57159423828,43605.39666748047,7038.788818359375,16525500416,4294963200,12717604864,3988930560
499,1771900449973,2500,2500,2504,2500,2500,2500,2500,2500,2499,2500,2500,2500,85.71428680419922,86,84,86,85.71428680419922,83.67346954345703,83.67346954345703,84,87.7551040649414,84.61538696289063,87.7551040649414,86.2745132446289,37998.580322265625,47092.90496826172,43615.170471191406,7038.8433837890625,16525500416,4294963200,12719357952,3988930560
