Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771810538622,7019.158157348633,28000,1,0.54375,8359.545639038086,28000,1,0.54375,6619.880798339844,28000,1,0.54375,8270.546752929688,28000,1,0.54375,4396.988525390625,4800,2,0.54375,4385.075180053711,4800,2,0.54375,4400.041549682617,4800,2,0.54375,4394.337203979492,4800,2,0.54375,4433.5533447265625,4800,2,0.54375,4545.064224243164,4800,2,0.54375,173780.19009399414,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,3.125,6.25,6.25,6.25,0,6.25,3.125,3.125,6.060606002807617,3.125,6.060606002807617,6.25,3.22580623626709,6.060606002807617,3.125,3.125,0,0,6.060606002807617,9.375,28659011584,8589930496,2850447360,0
499,1771810538622,7019.158248901367,28000,1,0.5625,8359.545852661133,28000,1,0.5625,6619.880966186523,28000,1,0.5625,8270.546844482422,28000,1,0.5625,4396.988540649414,4800,2,0.5625,4385.075225830078,4800,2,0.5625,4400.042999267578,4800,2,0.5625,4394.337203979492,4800,2,0.5625,4433.555130004883,4800,2,0.5625,4545.064224243164,4800,2,0.5625,173780.2038269043,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,3.125,6.25,6.25,6.25,0,6.25,3.125,3.125,6.060606002807617,3.125,6.060606002807617,6.25,3.22580623626709,6.060606002807617,3.125,3.125,0,0,6.060606002807617,9.375,28659011584,8589930496,2850447360,0
499,1771810539122,7019.206314086914,28000,1,0.9812500000000001,8359.61376953125,28000,1,0.9812500000000001,6619.924575805664,28000,1,0.9812500000000001,8270.621795654297,28000,1,0.9812500000000001,4397.00048828125,4800,2,0.9812500000000001,4385.076705932617,4800,2,0.9812500000000001,4400.047378540039,4800,2,0.9812500000000001,4394.345626831055,4800,2,0.9812500000000001,4433.557998657227,4800,2,0.9812500000000001,4545.078231811523,4800,2,0.9812500000000001,173782.50006103516,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,0,6,4,7.843137741088867,5.882352828979492,5.882352828979492,0,0,0,0,0,0,5.882352828979492,4,3.9215688705444336,3.9215688705444336,0,2,0,0,28659011584,8589930496,2848894976,0
499,1771810539623,7019.424957275391,28000,1,0.9812500000000001,8359.899322509766,28000,1,0.9812500000000001,6620.100494384766,28000,1,0.9812500000000001,8270.983947753906,28000,1,0.9812500000000001,4397.086135864258,4800,2,0.9812500000000001,4385.178039550781,4800,2,0.9812500000000001,4400.139892578125,4800,2,0.9812500000000001,4394.424911499023,4800,2,0.9812500000000001,4433.651885986328,4800,2,0.9812500000000001,4545.157440185547,4800,2,0.9812500000000001,173786.22784423828,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,25,46.153846740722656,31.37255096435547,30.612245559692383,30.000001907348633,28,19.60784339904785,32,29.411766052246094,24,29.411766052246094,20,26.923078536987305,63.26530456542969,22,16,22,19.60784339904785,18,18,28659011584,8589930496,2865377280,0
499,1771810540123,7019.917266845703,28000,1,0.9875,8360.359924316406,28000,1,0.9875,6620.532577514648,28000,1,0.9875,8271.452392578125,28000,1,0.9875,4397.3441162109375,9600,2,0.9875,4385.42658996582,9600,2,0.9875,4400.372665405273,9600,2,0.9875,4394.684783935547,9600,2,0.9875,4433.9014892578125,9600,2,0.9875,4545.416000366211,9600,2,0.9875,173791.93811035156,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,58.33333206176758,57.142860412597656,67.34693908691406,58.82353210449219,66.66667175292969,62,62,70.5882339477539,70,62,55.1020393371582,68.62745666503906,34.693878173828125,58,56,32,25.490198135375977,58,52,38,28659011584,8589930496,2881372160,0
499,1771810540623,7020.482635498047,28000,1,0.90625,8360.943908691406,28000,1,0.90625,6621.100372314453,28000,1,0.90625,8272.018341064453,28000,1,0.90625,4397.745147705078,28000,1,0.90625,4385.8416748046875,28000,1,0.90625,4400.779205322266,28000,1,0.90625,4395.099884033203,28000,1,0.90625,4434.336090087891,28000,1,0.90625,4545.835647583008,28000,1,0.90625,173799.15795898438,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,54.000003814697266,56,59.18367385864258,70,71.42857360839844,69.38775634765625,52,67.34693908691406,68,68.62745666503906,70,61.224491119384766,48,49.01960754394531,54.90196228027344,48,42.85714340209961,52,58,56.86274719238281,28659011584,8589930496,2936684544,0
499,1771810541123,7020.879730224609,28000,1,0.90625,8361.412155151367,28000,1,0.90625,6621.548110961914,28000,1,0.90625,8272.470672607422,28000,1,0.90625,4398.058563232422,28000,1,0.90625,4386.133773803711,28000,1,0.90625,4401.0947265625,28000,1,0.90625,4395.402679443359,28000,1,0.90625,4434.640640258789,28000,1,0.90625,4546.13883972168,28000,1,0.90625,173805.1120300293,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,24.489795684814453,47.05882263183594,50.98039627075195,51.020408630371094,52,49.01960754394531,48,50.98039627075195,50,42.85714340209961,48,42,50.98039627075195,48.979591369628906,42,26,38,34.693878173828125,32,38.775508880615234,28659011584,8589930496,2999578624,0
499,1771810541623,7021.0040283203125,28000,1,1,8361.5380859375,28000,1,1,6621.661209106445,28000,1,1,8272.626998901367,28000,1,1,4398.124694824219,4800,2,0.9812500000000001,4386.201583862305,4800,2,0.9812500000000001,4401.167938232422,4800,2,0.9812500000000001,4395.459060668945,4800,2,0.9812500000000001,4434.735137939453,4800,2,0.9812500000000001,4546.200454711914,4800,2,0.9812500000000001,173808.07595825195,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,13.461539268493652,12,14,14,12,14,12,10.204081535339355,6.122448921203613,10,12,10.204081535339355,16,12.244897842407227,10,2.040816307067871,6,7.843137741088867,14,10,28659011584,8589930496,3012304896,0
500,1771810542123,7021.298065185547,28000,1,0.9125,8361.86474609375,28000,1,0.9125,6621.93537902832,28000,1,0.9125,8272.911865234375,28000,1,0.9125,4398.325149536133,28000,1,0.9125,4386.404495239258,28000,1,0.9125,4401.352340698242,28000,1,0.9125,4395.650192260742,28000,1,0.9125,4434.916702270508,28000,1,0.9125,4546.412841796875,28000,1,0.9125,173812.60794067383,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,35.416664123535156,34.693878173828125,28.571430206298828,34,32.65306091308594,32.65306091308594,30.000001907348633,31.37255096435547,28.571430206298828,34,32.65306091308594,37.25490188598633,34,32,26.530611038208008,30.612245559692383,22,24.489795684814453,16.32653045654297,31.37255096435547,28659011584,8589930496,3024969728,0
499,1771810542623,7021.345611572266,28000,1,0.9812500000000001,8361.919296264648,28000,1,0.9812500000000001,6621.991851806641,28000,1,0.9812500000000001,8272.964660644531,28000,1,0.9812500000000001,4398.366119384766,4800,2,0.9812500000000001,4386.444198608398,4800,2,0.9812500000000001,4401.392318725586,4800,2,0.9812500000000001,4395.685607910156,4800,2,0.9812500000000001,4434.956451416016,4800,2,0.9812500000000001,4546.453170776367,4800,2,0.9812500000000001,173814.56855773926,1990,1990,1988,1987,1989,1990,1402,1400,1400,1400,623,1398,1988,1991,1401,623,623,1401,1401,1401,2.040816307067871,8,7.843137741088867,8,6,7.843137741088867,6.122448921203613,8,4,4,6.122448921203613,8,8,8,2.040816307067871,7.843137741088867,7.843137741088867,6,4.081632614135742,6.122448921203613,28659011584,8589930496,3035856896,0
