Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771906489523,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,14.285715103149414,3.5714287757873535,3.7037036418914795,7.142857551574707,13.793103218078613,3.5714287757873535,13.793103218078613,17.241378784179688,13.793103218078613,10.344827651977539,13.793103218078613,17.241378784179688,41673.959228515625,128412.63360595703,94963.10791015625,7268.632019042969,16525500416,4294963200,12118069248,3983306752
499,1771906489523,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,14.285715103149414,3.5714287757873535,3.7037036418914795,7.142857551574707,13.793103218078613,3.5714287757873535,13.793103218078613,17.241378784179688,13.793103218078613,10.344827651977539,13.793103218078613,17.241378784179688,41673.96081542969,128412.64306640625,94963.11315917969,7268.632019042969,16525500416,4294963200,12118601728,3983306752
500,1771906490023,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,18.367347717285156,18,20,20,26.530611038208008,16.32653045654297,20.40816307067871,16.32653045654297,27.45098114013672,36.73469543457031,23.52941131591797,20,41674.312927246094,128423.49377441406,94971.49841308594,7268.65087890625,16525500416,4294963200,12145737728,3983306752
499,1771906490523,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,46,54.000003814697266,39.2156867980957,50,62,54.000003814697266,44,50,46,51.92307662963867,55.1020393371582,44.89795684814453,41674.746337890625,128452.44580078125,94997.91540527344,7268.758483886719,16525500416,4294963200,12179406848,3983306752
499,1771906491024,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,70.5882339477539,68,67.34693908691406,70.5882339477539,64.70588684082031,69.38775634765625,68,64.70588684082031,74.50980377197266,73.46939086914063,70.5882339477539,70,41675.23718261719,128486.20123291016,95028.70489501953,7269.140686035156,16525500416,4294963200,12201332736,3983306752
499,1771906491523,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,73.46939086914063,74,72,77.08332824707031,72.91667175292969,72.54901885986328,73.46939086914063,75.51020050048828,77.08332824707031,78.4313735961914,74,72,41675.75799560547,128519.81860351563,95059.5439453125,7269.385009765625,16525500416,4294963200,12208857088,3983306752
499,1771906492024,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,73.46939086914063,78,73.46939086914063,78.84615325927734,70,70.83332824707031,75.51020050048828,71.42857360839844,72.54901885986328,73.46939086914063,72,78.4313735961914,41676.394592285156,128552.91577148438,95089.57733154297,7269.798645019531,16525500416,4294963200,12296843264,3983306752
500,1771906492524,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,78,83.67346954345703,78.4313735961914,70.83332824707031,76,85.71428680419922,72.91667175292969,77.55101776123047,77.55101776123047,78,82,75.51020050048828,41677.0517578125,128586.47534179688,95120.10766601563,7270.1953125,16525500416,4294963200,12445470720,3983306752
499,1771906493025,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,74.50980377197266,75.51020050048828,73.46939086914063,76,92,75,70.5882339477539,82,70.5882339477539,78.4313735961914,82,72,41677.56481933594,128617.93145751953,95148.89953613281,7270.302734375,16525500416,4294963200,12486295552,3983306752
499,1771906493524,4206,4199,4201,4199,4204,4205,4203,4199,4236,4236,4199,4199,58,43.13725662231445,40.81632614135742,41.17647171020508,42.85714340209961,72,38,41.17647171020508,42,40.81632614135742,48,42,41678.05920410156,128643.03588867188,95171.38201904297,7270.404541015625,16525500416,4294963200,12481417216,3983306752
