Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771888122277,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,82.5,82.92682647705078,82.5,87.5,82.5,80.48780822753906,80.48780822753906,82.5,84.61538696289063,82.5,82.92682647705078,82.05128479003906,29251.377197265625,79406.10565185547,137969.51330566406,6331.1051025390625,16525500416,4294963200,13287174144,3924586496
500,1771888122277,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,82.5,82.92682647705078,82.5,87.5,82.5,80.48780822753906,80.48780822753906,82.5,84.61538696289063,82.5,82.92682647705078,82.05128479003906,29251.377197265625,79406.10565185547,137969.52056884766,6331.1051025390625,16525500416,4294963200,13287174144,3924586496
499,1771888122777,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,91.83673095703125,89.58332824707031,89.79591369628906,92.1568603515625,90,88.23529815673828,90.19607543945313,91.66667175292969,90,92.30769348144531,91.66667175292969,94.11764526367188,29251.902893066406,79418.70184326172,137979.49420166016,6331.188415527344,16525500416,4294963200,13320163328,3924582400
499,1771888123278,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,85.71428680419922,84,78.4313735961914,86,96,85.41667175292969,81.63265228271484,82,94,86,88,87.7551040649414,29252.52880859375,79431.00988769531,137989.04559326172,6331.303527832031,16525500416,4294963200,13330989056,3924582400
500,1771888123778,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,98,93.87755584716797,95.91836547851563,91.83673095703125,90,92,100,88.23529815673828,94,89.79591369628906,90,91.66667175292969,29253.224487304688,79443.32775878906,137998.61126708984,6331.398620605469,16525500416,4294963200,13542694912,3924582400
501,1771888124278,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,100,95.91836547851563,92.30769348144531,90.38461303710938,91.83673095703125,96,90.38461303710938,90,100,92,92,90.19607543945313,29253.774047851563,79455.81726074219,138008.50177001953,6331.4449462890625,16525500416,4294963200,13640224768,3924582400
500,1771888124781,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,91.83673095703125,92.1568603515625,89.79591369628906,93.87755584716797,93.87755584716797,100,100,91.83673095703125,89.79591369628906,93.87755584716797,94.11764526367188,89.79591369628906,29254.42462158203,79468.19329833984,138018.12170410156,6331.573547363281,16525500416,4294963200,13663662080,3924582400
499,1771888125281,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,84.31372833251953,90,85.71428680419922,100,86.2745132446289,84,86.2745132446289,86,83.67346954345703,87.7551040649414,85.71428680419922,100,29254.963439941406,79480.38635253906,138027.65991210938,6331.695983886719,16525500416,4294963200,13649862656,3924582400
492,1771888125790,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,90.38461303710938,90.19607543945313,88.23529815673828,100,88.23529815673828,88.23529815673828,90.19607543945313,88,90,88.67924499511719,90.19607543945313,98.11321258544922,29255.505798339844,79493.04913330078,138037.5928955078,6331.794128417969,16525500416,4294963200,13674958848,3924582400
500,1771888126282,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,85.71428680419922,91.83673095703125,96,95.91836547851563,91.48936462402344,85.71428680419922,89.79591369628906,88.23529815673828,88,89.79591369628906,91.66667175292969,100,29256.050048828125,79505.18927001953,138047.17364501953,6331.852111816406,16525500416,4294963200,13626105856,3924582400
499,1771888126783,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,63.26530456542969,64,62.5,60.000003814697266,62.74510192871094,60.000003814697266,100,61.224491119384766,64,57.142860412597656,58,98,29256.610778808594,79517.30322265625,138056.68365478516,6331.897521972656,16525500416,4294963200,13626986496,3924582400
500,1771888127283,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,87.5,91.83673095703125,90,88.23529815673828,88,98,90.19607543945313,88,89.79591369628906,84,90.19607543945313,84.31372833251953,29257.133728027344,79529.74505615234,138066.53350830078,6331.955139160156,16525500416,4294963200,13647990784,3924582400
499,1771888127784,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,84.31372833251953,91.83673095703125,90.19607543945313,86,85.71428680419922,98,88,86.2745132446289,88.23529815673828,86,87.7551040649414,87.7551040649414,29257.60821533203,79542.36181640625,138076.5181274414,6331.9930419921875,16525500416,4294963200,13637697536,3924582400
500,1771888128283,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,90,86.2745132446289,82,80,83.67346954345703,95.91836547851563,86,83.67346954345703,84,84,86,84,29258.125,79554.64935302734,138086.17755126953,6332.081604003906,16525500416,4294963200,13708357632,3924582400
499,1771888128784,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,94,91.83673095703125,92,90,94.11764526367188,96.07843017578125,88,92,95.91836547851563,88.23529815673828,92,92.30769348144531,29258.712646484375,79567.14813232422,138096.0732421875,6332.125,16525500416,4294963200,13650677760,3924582400
499,1771888129284,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,92.1568603515625,88.23529815673828,90.19607543945313,90,98,87.7551040649414,90,86,90,95.91836547851563,88,89.79591369628906,29259.223571777344,79579.62756347656,138105.97607421875,6332.160400390625,16525500416,4294963200,13776879616,3927121920
500,1771888129784,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,87.7551040649414,87.7551040649414,90,91.83673095703125,100,86.2745132446289,86,88,88,92,90,96,29259.7890625,79591.90228271484,138115.60479736328,6332.196350097656,16525500416,4294963200,13525999616,3935436800
499,1771888130284,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,85.71428680419922,88,84,96,90,86,83.33332824707031,84,85.71428680419922,82.35294342041016,84,86,29260.246215820313,79604.35473632813,138125.47973632813,6332.248596191406,16525500416,4294963200,13537853440,3935436800
499,1771888130784,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,86,90,87.7551040649414,94.11764526367188,86,89.79591369628906,88,85.71428680419922,90,87.7551040649414,86,86,29260.738403320313,79616.73107910156,138135.2774658203,6332.2982177734375,16525500416,4294963200,13534474240,3935436800
499,1771888131284,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,86,88,90.19607543945313,87.7551040649414,87.7551040649414,88,84.61538696289063,88,100,86.2745132446289,85.71428680419922,85.71428680419922,29261.203186035156,79629.19165039063,138145.1864013672,6332.332824707031,16525500416,4294963200,13537263616,3935436800
491,1771888131794,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,88,82.35294342041016,84,86,86.2745132446289,88.23529815673828,89.79591369628906,90.38461303710938,98,87.7551040649414,86.2745132446289,88.23529815673828,29261.69451904297,79641.86059570313,138155.1883544922,6332.384948730469,16525500416,4294963200,13506703360,3935436800
496,1771888132290,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,95.91836547851563,89.79591369628906,89.79591369628906,84,86.2745132446289,87.7551040649414,87.7551040649414,85.71428680419922,94.11764526367188,86.2745132446289,87.7551040649414,90,29262.201782226563,79654.11114501953,138164.8715209961,6332.434509277344,16525500416,4294963200,13525958656,3935436800
499,1771888132786,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,100,91.83673095703125,90,93.87755584716797,92,92,92.1568603515625,93.87755584716797,100,93.87755584716797,90,91.83673095703125,29262.71307373047,79666.45617675781,138174.67443847656,6332.469299316406,16525500416,4294963200,13506953216,3935436800
499,1771888133286,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,86.2745132446289,100,86,86.2745132446289,90,84,89.79591369628906,85.71428680419922,87.5,87.7551040649414,90,88,29263.22637939453,79678.87573242188,138184.47814941406,6332.518005371094,16525500416,4294963200,13514473472,3935436800
489,1771888133797,2600,2600,2600,2600,2599,2599,2599,2600,2598,2600,2599,2600,90.19607543945313,100,88.23529815673828,80.39215850830078,92.1568603515625,92.1568603515625,90.19607543945313,90.19607543945313,90.19607543945313,86.79244995117188,90,90.19607543945313,29263.697326660156,79691.70861816406,138194.67431640625,6332.557800292969,16525500416,4294963200,13514842112,3935436800
