Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771793912615,2161.0447845458984,28000,1,0.9812500000000001,3166.6092834472656,28000,1,0.9812500000000001,1841.1389617919922,28000,1,0.9812500000000001,3061.826950073242,28000,1,0.9812500000000001,1161.888687133789,4800,2,0.9812500000000001,1135.3696899414063,4800,2,0.9812500000000001,1132.3517150878906,4800,2,0.9812500000000001,1124.9045867919922,4800,2,0.9812500000000001,1140.4761810302734,4800,2,0.9812500000000001,1204.5677337646484,4800,2,0.9812500000000001,77775.0341796875,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,6.060606002807617,5.882352828979492,0,0,0,3.0303030014038086,3.0303030014038086,3.125,5.882352828979492,3.0303030014038086,6.060606002807617,6.060606002807617,3.0303030014038086,6.45161247253418,3.125,3.0303030014038086,3.0303030014038086,0,3.0303030014038086,3.0303030014038086,28659011584,8589930496,3338444800,0
499,1771793912615,2161.044891357422,28000,1,0.9812500000000001,3166.6092834472656,28000,1,0.9812500000000001,1841.1389617919922,28000,1,0.9812500000000001,3061.8277587890625,28000,1,0.9812500000000001,1161.8896942138672,4800,2,0.9812500000000001,1135.3697204589844,4800,2,0.9812500000000001,1132.352554321289,4800,2,0.9812500000000001,1124.9045867919922,4800,2,0.9812500000000001,1140.4761810302734,4800,2,0.9812500000000001,1204.5677337646484,4800,2,0.9812500000000001,77775.03968811035,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,6.060606002807617,5.882352828979492,0,0,0,3.0303030014038086,3.0303030014038086,3.125,5.882352828979492,3.0303030014038086,6.060606002807617,6.060606002807617,3.0303030014038086,6.45161247253418,3.125,3.0303030014038086,3.0303030014038086,0,3.0303030014038086,3.0303030014038086,28659011584,8589930496,3338444800,0
499,1771793913116,2161.0911254882813,28000,1,0.9812500000000001,3166.7496948242188,28000,1,0.9812500000000001,1841.190673828125,28000,1,0.9812500000000001,3061.987564086914,28000,1,0.9812500000000001,1161.8951721191406,4800,2,0.9812500000000001,1135.3878021240234,4800,2,0.9812500000000001,1132.3787231445313,4800,2,0.9812500000000001,1124.9186706542969,4800,2,0.9812500000000001,1140.4969329833984,4800,2,0.9812500000000001,1204.5756072998047,4800,2,0.9812500000000001,77777.59912109375,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,6,18,3.9215688705444336,15.686275482177734,9.803921699523926,12,2,7.843137741088867,8,4,4,0,4,24,1.9607844352722168,0,2.040816307067871,1.9607844352722168,3.9215688705444336,2,28659011584,8589930496,3347734528,0
499,1771793913616,2161.4636993408203,28000,1,0.9812500000000001,3167.236526489258,28000,1,0.9812500000000001,1841.5047912597656,28000,1,0.9812500000000001,3062.4315643310547,28000,1,0.9812500000000001,1162.054458618164,4800,2,0.9812500000000001,1135.5557098388672,4800,2,0.9812500000000001,1132.5671691894531,4800,2,0.9812500000000001,1125.1051177978516,4800,2,0.9812500000000001,1140.6992645263672,4800,2,0.9812500000000001,1204.7432098388672,4800,2,0.9812500000000001,77782.94462585449,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,50,52.08333206176758,52,72,46,66,46,50.98039627075195,53.061222076416016,50,52,46,42,48,28,42.85714340209961,38,38.775508880615234,46.938777923583984,36,28659011584,8589930496,3294289920,0
499,1771793914116,2161.8414001464844,28000,1,0.9812500000000001,3167.6194915771484,28000,1,0.9812500000000001,1841.8551788330078,28000,1,0.9812500000000001,3062.862533569336,28000,1,0.9812500000000001,1162.22607421875,9600,2,0.9812500000000001,1135.7626647949219,9600,2,0.9812500000000001,1132.756607055664,9600,2,0.9812500000000001,1125.2852172851563,9600,2,0.9812500000000001,1140.8855285644531,9600,2,0.9812500000000001,1204.929458618164,9600,2,0.9812500000000001,77788.24417114258,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,44,50,48,48,51.020408630371094,50,42,51.020408630371094,52.94117736816406,48,51.020408630371094,52,48,62,34,44.89795684814453,41.17647171020508,41.17647171020508,42,30.612245559692383,28659011584,8589930496,3315482624,0
499,1771793914616,2162.324203491211,28000,1,0.91875,3168.106002807617,28000,1,0.91875,1842.3939056396484,28000,1,0.91875,3063.4381713867188,28000,1,0.91875,1162.5537872314453,28000,1,0.91875,1136.1200866699219,28000,1,0.91875,1133.1360473632813,28000,1,0.91875,1125.6532592773438,28000,1,0.91875,1141.2474060058594,28000,1,0.91875,1205.3074035644531,28000,1,0.91875,77795.36851501465,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,36,44,62,56,60.000003814697266,62,42,52,55.1020393371582,64,64,58.82353210449219,63.26530456542969,61.224491119384766,42.85714340209961,50,57.142860412597656,42,39.2156867980957,53.061222076416016,28659011584,8589930496,3291041792,0
499,1771793915116,2162.9525451660156,28000,1,0.91875,3168.759979248047,28000,1,0.91875,1843.0289459228516,28000,1,0.91875,3064.083755493164,28000,1,0.91875,1162.9820098876953,28000,1,0.91875,1136.571533203125,28000,1,0.91875,1133.6033630371094,28000,1,0.91875,1126.0852813720703,28000,1,0.91875,1141.6865234375,28000,1,0.91875,1205.766342163086,28000,1,0.91875,77803.64097595215,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,59.18367385864258,67.34693908691406,68,74,69.38775634765625,68,64,73.46939086914063,70,69.38775634765625,70.5882339477539,69.38775634765625,68,68,42.85714340209961,47.05882263183594,56.86274719238281,42,36.73469543457031,51.020408630371094,28659011584,8589930496,3282120704,0
499,1771793915616,2163.606918334961,28000,1,0.74375,3169.4337768554688,28000,1,0.74375,1843.694839477539,28000,1,0.74375,3064.712203979492,28000,1,0.74375,1163.4714660644531,28000,1,0.74375,1137.0689697265625,28000,1,0.74375,1134.0967407226563,28000,1,0.74375,1126.5611114501953,28000,1,0.74375,1142.1792449951172,28000,1,0.74375,1206.2549133300781,28000,1,0.74375,77812.15985107422,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,52,61.224491119384766,72,71.42857360839844,64.70588684082031,66,70,74.50980377197266,66,74.50980377197266,68,72,66.66667175292969,51.020408630371094,52,48,64,36.73469543457031,56,50,28659011584,8589930496,3312439296,0
499,1771793916116,2164.31494140625,28000,1,0.91875,3170.1817321777344,28000,1,0.91875,1844.4701385498047,28000,1,0.75,3065.4866790771484,28000,1,0.75,1163.9922637939453,28000,1,0.75,1137.6190185546875,28000,1,0.75,1134.6419067382813,28000,1,0.75,1127.1135711669922,28000,1,0.75,1142.7432556152344,28000,1,0.75,1206.8380584716797,28000,1,0.75,77821.73434448242,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,48,58.82353210449219,64,70,73.46939086914063,74,63.26530456542969,69.38775634765625,64,72,60.000003814697266,72.54901885986328,71.42857360839844,64,40.81632614135742,52,50,46,70.5882339477539,58.33333206176758,28659011584,8589930496,3355717632,0
499,1771793916616,2164.952850341797,28000,1,0.9125,3170.8548583984375,28000,1,0.9125,1845.1387481689453,28000,1,0.9125,3066.1204528808594,28000,1,0.9125,1164.4805297851563,28000,1,0.9125,1138.098403930664,28000,1,0.9125,1135.130142211914,28000,1,0.9125,1127.6202392578125,28000,1,0.9125,1143.2422943115234,28000,1,0.9125,1207.342788696289,28000,1,0.9125,77830.39855957031,1987,1991,623,623,623,1989,1401,1402,1402,623,1401,623,1991,1992,623,623,623,1402,1402,1401,44.89795684814453,50.98039627075195,70,70,68,68,66,70.5882339477539,69.38775634765625,72,72,73.46939086914063,66,46.938777923583984,52.94117736816406,52,51.020408630371094,62.74510192871094,52.08333206176758,54.000003814697266,28659011584,8589930496,3326627840,0
