Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771915661519,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,21.875,12.5,15.625,16.129032135009766,6.6666669845581055,28.125,25.80644989013672,10,16.129032135009766,13.333333969116211,18.75,21.875,47399.57080078125,1384.7860107421875,184279.49255371094,7825.489990234375,16525500416,4294963200,11885744128,3995934720
499,1771915661520,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,21.875,12.5,15.625,16.129032135009766,6.6666669845581055,28.125,25.80644989013672,10,16.129032135009766,13.333333969116211,18.75,21.875,47399.57080078125,1384.7860107421875,184279.49432373047,7825.489990234375,16525500416,4294963200,11885744128,3995934720
499,1771915662020,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,6.122448921203613,5.882352828979492,2.040816307067871,15.686275482177734,2,12.244897842407227,3.9215688705444336,2,3.9215688705444336,4,6.122448921203613,7.843137741088867,47399.86279296875,1388.0416259765625,184280.2821044922,7825.507019042969,16525500416,4294963200,11883040768,3995934720
500,1771915662520,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,40,45.09803771972656,32.65306091308594,34,47.05882263183594,44,46,34,48,38.775508880615234,44.89795684814453,51.020408630371094,47400.27508544922,1413.2286376953125,184302.88543701172,7825.585021972656,16525500416,4294963200,11923480576,3995934720
499,1771915663021,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,64,66,60.78431701660156,64.70588684082031,65.30612182617188,62,62.74510192871094,64.70588684082031,65.30612182617188,66.66667175292969,68.62745666503906,64.70588684082031,47400.78973388672,1446.2098388671875,184333.10345458984,7825.799865722656,16525500416,4294963200,11930992640,3995934720
500,1771915663520,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,69.38775634765625,71.42857360839844,71.42857360839844,75.51020050048828,75.51020050048828,72.91667175292969,72,70.83332824707031,70,74,77.55101776123047,72,47401.27770996094,1479.3319702148438,184363.38427734375,7826.096862792969,16525500416,4294963200,11937398784,3995934720
499,1771915664021,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,78,73.46939086914063,65.30612182617188,70,73.07691955566406,72,71.42857360839844,70.5882339477539,72.54901885986328,74.50980377197266,76.47058868408203,70.83332824707031,47401.79608154297,1512.2974853515625,184393.71044921875,7826.244873046875,16525500416,4294963200,11969556480,3995934720
499,1771915664521,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,77.55101776123047,76.92308044433594,75,74,73.46939086914063,74.50980377197266,76,72.91667175292969,78.84615325927734,81.63265228271484,78,74.50980377197266,47402.357971191406,1545.864990234375,184424.35662841797,7826.485656738281,16525500416,4294963200,12016652288,3995934720
499,1771915665021,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,68.62745666503906,67.34693908691406,71.42857360839844,69.38775634765625,75,71.42857360839844,68,68,63.26530456542969,72.54901885986328,75,62,47402.813232421875,1576.6216430664063,184452.41595458984,7826.621520996094,16525500416,4294963200,12009209856,3995934720
499,1771915665521,4389,4389,4199,4200,4199,4256,4388,4296,4198,4200,4389,4199,44.89795684814453,38.775508880615234,38,42,40.81632614135742,42,46,38.775508880615234,42.85714340209961,40.81632614135742,42,40,47403.2109375,1595.1741333007813,184468.34716796875,7826.724914550781,16525500416,4294963200,12010528768,3995934720
