Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771901923220,899,899,900,899,899,900,899,900,899,899,900,800,16.129032135009766,13.333333969116211,10,10,10,10,10,13.333333969116211,19.35483741760254,10,20,10,38959.119201660156,68223.35162353516,57400.18212890625,7109.3597412109375,16525500416,4294963200,12614262784,3925889024
499,1771901923220,899,899,900,899,899,900,899,900,899,899,900,800,16.129032135009766,13.333333969116211,10,10,10,10,10,13.333333969116211,19.35483741760254,10,20,10,38959.119201660156,68223.35162353516,57400.184326171875,7109.3597412109375,16525500416,4294963200,12614262784,3925889024
499,1771901923720,899,899,900,899,899,900,899,900,899,899,900,800,24.489795684814453,28.571430206298828,25.490198135375977,34,36,28,44,28,53.061222076416016,40.81632614135742,26,22.916667938232422,38959.646728515625,68240.10821533203,57414.40118408203,7109.397277832031,16525500416,4294963200,12680441856,3925889024
494,1771901924226,899,899,900,899,899,900,899,900,899,899,900,800,83.67346954345703,78.4313735961914,85.71428680419922,80.39215850830078,80,82,86.2745132446289,85.71428680419922,82,76.47058868408203,81.63265228271484,74.50980377197266,38960.48498535156,68273.00939941406,57443.986328125,7109.9482421875,16525500416,4294963200,12819558400,3925884928
499,1771901924720,899,899,900,899,899,900,899,900,899,899,900,800,45.09803771972656,41.666664123535156,48,39.583335876464844,58.33333206176758,52,89.79591369628906,50,44,42.85714340209961,54.000003814697266,41.666664123535156,38961.07763671875,68295.48229980469,57463.827209472656,7110.003234863281,16525500416,4294963200,12835569664,3925884928
499,1771901925220,899,899,900,899,899,900,899,900,899,899,900,800,38.775508880615234,51.020408630371094,38,40,41.17647171020508,38.775508880615234,81.63265228271484,40.81632614135742,66,40,40.81632614135742,40,38961.70001220703,68320.17895507813,57485.816467285156,7110.119323730469,16525500416,4294963200,12888227840,3925884928
500,1771901925720,899,899,900,899,899,900,899,900,899,899,900,800,15.686275482177734,15.094339370727539,8.163265228271484,6.122448921203613,73.46939086914063,13.72549057006836,8,9.615385055541992,19.60784339904785,18.367347717285156,11.538461685180664,14,38962.18469238281,68336.6552734375,57499.62536621094,7110.206481933594,16525500416,4294963200,12888674304,3925884928
499,1771901926221,899,899,900,899,899,900,899,900,899,899,900,800,6.25,6,12,6,5.882352828979492,6.25,7.843137741088867,8.163265228271484,8.163265228271484,8,4.1666669845581055,2.040816307067871,38962.485107421875,68341.62274169922,57502.070068359375,7110.206481933594,16525500416,4294963200,12887117824,3925884928
499,1771901926721,899,899,900,899,899,900,899,900,899,899,900,800,8,2.0833334922790527,0,4.081632614135742,3.9215688705444336,6,25,4,8.163265228271484,6,7.843137741088867,2,38962.775146484375,68345.83337402344,57503.811950683594,7110.206481933594,16525500416,4294963200,12873424896,3925884928
499,1771901927221,899,899,900,899,899,900,899,900,899,899,900,800,6.122448921203613,4,55.1020393371582,49.01960754394531,8,6.122448921203613,6.25,4.081632614135742,8,4.081632614135742,7.843137741088867,8.163265228271484,38963.244140625,68359.95336914063,57515.40539550781,7110.206481933594,16525500416,4294963200,13066248192,3925884928
499,1771901927721,899,899,900,899,899,900,899,900,899,899,900,800,6,8,39.2156867980957,4,2.0833334922790527,8,7.843137741088867,2.0833334922790527,4.081632614135742,7.843137741088867,2.0833334922790527,6,38963.612854003906,68367.93859863281,57520.87097167969,7110.206481933594,16525500416,4294963200,12893708288,3925884928
499,1771901928221,899,899,900,899,899,900,899,900,899,899,900,800,6,8,2,9.615385055541992,5.882352828979492,2.040816307067871,2.040816307067871,10,13.461539268493652,6.25,10,4,38963.89532470703,68371.0394897461,57521.473205566406,7110.206481933594,16525500416,4294963200,12893593600,3925884928
499,1771901928721,899,899,900,899,899,900,899,900,899,899,900,800,8,4.1666669845581055,4,0,4.081632614135742,6.122448921203613,4,8,14,9.803921699523926,6,4,38964.182189941406,68374.1298828125,57522.095275878906,7110.206481933594,16525500416,4294963200,12894879744,3925884928
500,1771901929221,899,899,900,899,899,900,899,900,899,899,900,800,4.081632614135742,5.882352828979492,2.040816307067871,6,2.040816307067871,4.081632614135742,4,4.081632614135742,4.081632614135742,11.764705657958984,9.803921699523926,12.244897842407227,38964.49249267578,68377.71044921875,57523.17498779297,7110.2301025390625,16525500416,4294963200,12853243904,3925884928
499,1771901929722,899,899,900,899,899,900,899,900,899,899,900,800,6,2.0833334922790527,4.081632614135742,9.803921699523926,3.9215688705444336,5.882352828979492,2.040816307067871,5.882352828979492,4.081632614135742,6,6.25,6,38964.76593017578,68380.681640625,57523.68005371094,7110.2301025390625,16525500416,4294963200,12853497856,3925884928
500,1771901930222,899,899,900,899,899,900,899,900,899,899,900,800,6,6,8,6,6.122448921203613,8.163265228271484,5.882352828979492,8,4,8.333333969116211,6,6.25,38965.0556640625,68383.80059814453,57524.29553222656,7110.2301025390625,16525500416,4294963200,12854112256,3925884928
499,1771901930722,899,899,900,899,899,900,899,900,899,899,900,800,5.882352828979492,4.081632614135742,2,6,6,10,4.1666669845581055,20,6.122448921203613,4,5.882352828979492,11.764705657958984,38965.345764160156,68387.64324951172,57525.67218017578,7110.2301025390625,16525500416,4294963200,12854366208,3925884928
499,1771901931222,899,899,900,899,899,900,899,900,899,899,900,800,10,6,7.843137741088867,6,6.122448921203613,10,4,4,5.882352828979492,12,6.122448921203613,6,38965.63220214844,68390.69635009766,57526.262268066406,7110.2301025390625,16525500416,4294963200,12852506624,3925884928
499,1771901931722,899,899,900,899,899,900,899,900,899,899,900,800,10.204081535339355,6,2.040816307067871,8.163265228271484,8,6.122448921203613,6.122448921203613,2.0833334922790527,8,6.122448921203613,10,4.1666669845581055,38965.92004394531,68393.73596191406,57526.838134765625,7110.2301025390625,16525500416,4294963200,12849963008,3925884928
500,1771901932222,899,899,900,899,899,900,899,900,899,899,900,800,10.204081535339355,8,6.25,6.122448921203613,8.163265228271484,71.15384674072266,10,8,9.803921699523926,12.244897842407227,8.163265228271484,12,38966.321228027344,68404.06567382813,57534.620361328125,7110.2301025390625,16525500416,4294963200,12863119360,3925884928
500,1771901932723,899,899,900,899,899,900,899,900,899,899,900,800,8,5.882352828979492,11.764705657958984,4,5.882352828979492,6,4,4,18.367347717285156,2.040816307067871,11.764705657958984,6,38966.630615234375,68409.05578613281,57537.126525878906,7110.2301025390625,16525500416,4294963200,12863373312,3925884928
499,1771901933223,899,899,900,899,899,900,899,900,899,899,900,800,8,4,6.122448921203613,6,10.204081535339355,6.122448921203613,2,0,8,4,4.081632614135742,6.122448921203613,38966.90734863281,68412.08093261719,57537.687744140625,7110.2301025390625,16525500416,4294963200,12852916224,3925884928
499,1771901933723,899,899,900,899,899,900,899,900,899,899,900,800,4.081632614135742,8,6,5.882352828979492,4.1666669845581055,7.843137741088867,4,3.9215688705444336,4,3.9215688705444336,9.803921699523926,8.163265228271484,38967.18817138672,68415.1167602539,57538.2568359375,7110.2301025390625,16525500416,4294963200,12853174272,3925884928
499,1771901934224,899,899,900,899,899,900,899,900,899,899,900,800,8,4.081632614135742,2.0833334922790527,4.081632614135742,13.72549057006836,8,0,0,8,4.081632614135742,6.122448921203613,6,38967.46795654297,68418.19482421875,57538.853271484375,7110.2301025390625,16525500416,4294963200,12849143808,3925884928
