Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771904742944,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,19.35483741760254,12.90322494506836,10,10,10,26.666667938232422,29.032257080078125,12.90322494506836,10.714285850524902,16.129032135009766,10,12.90322494506836,40639.06378173828,104655.87091064453,79863.52038574219,7204.958435058594,16525500416,4294963200,12212645888,3996422144
499,1771904742944,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,19.35483741760254,12.90322494506836,10,10,10,26.666667938232422,29.032257080078125,12.90322494506836,10.714285850524902,16.129032135009766,10,12.90322494506836,40639.064880371094,104655.8793334961,79863.52355957031,7204.958435058594,16525500416,4294963200,12212645888,3996422144
500,1771904743444,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,2,1.9607844352722168,5.769230842590332,8,2,14,3.9215688705444336,2,9.43396282196045,6,6.122448921203613,0,40639.35546875,104659.1802368164,79864.3490600586,7204.974182128906,16525500416,4294963200,12217163776,3996422144
500,1771904743945,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,32.69230651855469,30.612245559692383,30.612245559692383,30.612245559692383,36,37.25490188598633,36,42,31.25,40,40,44,40639.74627685547,104681.88470458984,79884.58776855469,7205.0208740234375,16525500416,4294963200,12245065728,3996422144
499,1771904744446,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,68.75,66,64.58332824707031,60.78431701660156,66.66667175292969,66,67.34693908691406,64,66.66667175292969,66,66,64.70588684082031,40640.22540283203,104714.00396728516,79913.85681152344,7205.292663574219,16525500416,4294963200,12272173056,3996422144
499,1771904744946,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,70.5882339477539,70,70.5882339477539,65.30612182617188,72,74,76,72,73.46939086914063,76.47058868408203,72,70,40640.6865234375,104742.88586425781,79939.85559082031,7205.60400390625,16525500416,4294963200,12252557312,3996340224
499,1771904745446,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,78.4313735961914,74,81.63265228271484,76.47058868408203,75.51020050048828,77.55101776123047,78.4313735961914,76.47058868408203,76.47058868408203,80,71.42857360839844,77.55101776123047,40641.151916503906,104776.36535644531,79970.658203125,7205.78076171875,16525500416,4294963200,12276068352,3996340224
500,1771904745947,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,61.224491119384766,62,58.82353210449219,55.1020393371582,58,58,61.224491119384766,55.1020393371582,58.82353210449219,63.26530456542969,56,58.82353210449219,40641.656188964844,104802.96746826172,79994.37902832031,7206.033386230469,16525500416,4294963200,12281581568,3996340224
499,1771904746447,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,39.583335876464844,47.05882263183594,45.09803771972656,40.81632614135742,40,38,38,42,38.775508880615234,45.09803771972656,40,38.775508880615234,40641.986389160156,104813.31903076172,80002.27410888672,7206.057434082031,16525500416,4294963200,12281315328,3996340224
499,1771904746948,4199,4199,4200,4200,4199,4200,4200,4199,4200,4200,4199,4200,70,66.66667175292969,64,65.38461303710938,68.75,68.62745666503906,64.70588684082031,65.30612182617188,67.34693908691406,68,76,60.78431701660156,40642.40808105469,104843.26586914063,80029.52136230469,7206.168701171875,16525500416,4294963200,12282814464,3996327936
