Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771890545976,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,74.19355010986328,72.41378784179688,75,80,73.33333587646484,76.66666412353516,72.41378784179688,75.86206817626953,73.33333587646484,70.96774291992188,71.875,77.41934967041016,31168.23370361328,134509.79443359375,180722.4093017578,6504.678466796875,16525500416,4294963200,13329002496,3873701888
502,1771890545976,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,74.19355010986328,72.41378784179688,75,80,73.33333587646484,76.66666412353516,72.41378784179688,75.86206817626953,73.33333587646484,70.96774291992188,71.875,77.41934967041016,31168.241088867188,134509.90240478516,180722.4786376953,6504.684143066406,16525500416,4294963200,13328805888,3873701888
499,1771890546478,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,81.25,80.76922607421875,82.69230651855469,78.4313735961914,90.38461303710938,80,86.2745132446289,72.54901885986328,86.2745132446289,78,80,86,31168.898498535156,134522.56854248047,180732.43884277344,6504.805419921875,16525500416,4294963200,13391413248,3873701888
492,1771890546985,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,75,78,80,84.31372833251953,78,77.55101776123047,74,92,82,73.46939086914063,75.51020050048828,78.4313735961914,31169.56298828125,134534.95770263672,180741.95849609375,6505.052062988281,16525500416,4294963200,13412184064,3873701888
499,1771890547479,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,79.59183502197266,80,75,79.16667175292969,81.25,82,80,83.67346954345703,100,79.59183502197266,78,81.25,31170.12744140625,134547.22924804688,180751.6201171875,6505.085632324219,16525500416,4294963200,13514932224,3873701888
499,1771890547979,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,79.16667175292969,80,80,86.2745132446289,100,77.55101776123047,81.25,80.39215850830078,96,78.4313735961914,75,81.63265228271484,31170.792114257813,134559.5477294922,180761.18182373047,6505.255432128906,16525500416,4294963200,13586354176,3873701888
499,1771890548479,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,78.4313735961914,79.59183502197266,79.59183502197266,78,100,77.55101776123047,82,85.71428680419922,82,75.51020050048828,74,82.69230651855469,31171.45751953125,134571.80975341797,180770.53063964844,6505.579040527344,16525500416,4294963200,13597704192,3873701888
499,1771890548979,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,79.59183502197266,80.39215850830078,78.4313735961914,71.42857360839844,80,80,82,84,79.59183502197266,82.35294342041016,76,79.59183502197266,31172.06280517578,134584.11962890625,180780.01568603516,6505.827331542969,16525500416,4294963200,13554380800,3873701888
500,1771890549479,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,80,79.16667175292969,77.55101776123047,80,76.92308044433594,82,78.4313735961914,100,80.39215850830078,79.59183502197266,79.59183502197266,77.55101776123047,31172.678771972656,134596.50805664063,180789.6382446289,6505.9703369140625,16525500416,4294963200,13541117952,3873701888
493,1771890549987,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,78.4313735961914,80.76922607421875,73.07691955566406,76,77.55101776123047,80,77.55101776123047,100,76,76.92308044433594,78.84615325927734,83.01886749267578,31173.338500976563,134609.09405517578,180799.50122070313,6506.080810546875,16525500416,4294963200,13471547392,3873697792
499,1771890550481,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,77.55101776123047,78,79.59183502197266,77.55101776123047,71.42857360839844,80,80,100,77.55101776123047,77.55101776123047,75.51020050048828,79.16667175292969,31173.952758789063,134621.24188232422,180808.99981689453,6506.1859130859375,16525500416,4294963200,13442232320,3873697792
499,1771890550981,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,79.16667175292969,75.51020050048828,77.55101776123047,82,78.84615325927734,76.47058868408203,78,88,78,75.51020050048828,80.39215850830078,77.55101776123047,31174.581909179688,134633.55169677734,180818.6137084961,6506.309875488281,16525500416,4294963200,13440204800,3873697792
499,1771890551480,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,48.07692337036133,48,46,48,44.89795684814453,43.75,46.938777923583984,46,50.98039627075195,50,100,54.000003814697266,31175.12384033203,134643.61944580078,180825.99298095703,6506.384216308594,16525500416,4294963200,13442134016,3873697792
499,1771890551980,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,4.081632614135742,6,30.000001907348633,10.204081535339355,12,9.803921699523926,6,10.204081535339355,8.163265228271484,10,14.583333015441895,8,31175.500915527344,134649.19329833984,180829.05395507813,6506.412414550781,16525500416,4294963200,13443026944,3873697792
499,1771890552481,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,76,76,100,76,72,76,73.46939086914063,76,75.51020050048828,73.46939086914063,73.07691955566406,76.47058868408203,31176.18292236328,134670.89331054688,180848.00323486328,6506.5677490234375,16525500416,4294963200,13444038656,3873697792
499,1771890552981,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,78,77.55101776123047,84.31372833251953,86,76,78.4313735961914,72.54901885986328,76.47058868408203,76.47058868408203,78.4313735961914,75.51020050048828,79.59183502197266,31176.79705810547,134683.41259765625,180857.8071899414,6506.692810058594,16525500416,4294963200,13415596032,3873697792
498,1771890553482,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,80,78,78,100,77.08332824707031,80,77.55101776123047,78,79.59183502197266,73.46939086914063,75.51020050048828,75.51020050048828,31177.416870117188,134695.88012695313,180867.54705810547,6506.803527832031,16525500416,4294963200,13425168384,3873697792
499,1771890553981,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,82,79.59183502197266,77.08332824707031,86,86.2745132446289,77.55101776123047,76,72,81.63265228271484,78,76.47058868408203,86,31178.035766601563,134708.25018310547,180877.23809814453,6506.912292480469,16525500416,4294963200,13425315840,3873697792
499,1771890554481,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,77.08332824707031,76.47058868408203,78,79.59183502197266,100,78,76.47058868408203,78,78.4313735961914,83.67346954345703,76,78,31178.656005859375,134720.69384765625,180887.0223388672,6507.012756347656,16525500416,4294963200,13426237440,3873697792
499,1771890554981,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,78,85.41667175292969,80.39215850830078,78,87.7551040649414,77.55101776123047,77.55101776123047,79.59183502197266,81.63265228271484,80,75.51020050048828,84,31179.275939941406,134733.17138671875,180896.7958984375,6507.130615234375,16525500416,4294963200,13418991616,3873697792
499,1771890555481,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,78,86.2745132446289,73.46939086914063,76.47058868408203,75.51020050048828,78,78,89.79591369628906,76.47058868408203,78,74,80.76922607421875,31179.894470214844,134745.65521240234,180906.55346679688,6507.2359619140625,16525500416,4294963200,13410004992,3873697792
499,1771890555981,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,80,78,78,75.51020050048828,78.4313735961914,78.4313735961914,79.59183502197266,96.07843017578125,79.16667175292969,80,79.59183502197266,81.63265228271484,31180.526611328125,134758.08380126953,180916.302734375,6507.3466796875,16525500416,4294963200,13395636224,3873697792
499,1771890556481,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,78,77.55101776123047,74,72,78,75.51020050048828,76.92308044433594,100,76.47058868408203,76,82,79.59183502197266,31181.1513671875,134770.42169189453,180925.9462890625,6507.4622802734375,16525500416,4294963200,13400027136,3873697792
499,1771890556981,2600,2600,2600,2599,2599,2600,2599,2599,2599,2600,2599,2600,80,78.4313735961914,78,78.4313735961914,79.59183502197266,81.63265228271484,79.59183502197266,82,80,78,78,81.63265228271484,31181.765747070313,134782.7921142578,180935.60107421875,6507.591003417969,16525500416,4294963200,13399162880,3873697792
